training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.16090135,0.0,-48.034946,-84.30975,0.40310168,-0.13705182,10.315224,0.0741,-47.95305,-84.26463,0.0054215514,0.000719592809677124,2063.0639309883118,25000
0.1267628,0.0,-48.588104,-82.67526,0.25835964,-0.31875062,8.183972,0.062401302,-48.478233,-82.463036,0.006070014,0.0008258731842041016,2067.1933047771454,26000
0.06865902,-1.0,-51.4538,-90.30598,0.10670544,-0.274845,5.9879184,-0.8739843,-51.360714,-90.438446,0.0033614915,0.0009971483707427978,2072.1790549755096,27000
0.092225544,0.0,-47.451103,-82.43586,0.11418124,-0.1842449,4.499426,0.115981355,-47.35376,-82.459305,0.0054777786,0.0009549883365631103,2076.9540050029755,28000
0.1312167,0.0,-48.831722,-87.81979,0.16069977,-0.39082316,9.4288645,0.24529386,-48.719852,-87.96166,0.0067166477,0.001002975034713745,2081.968888282776,29000
0.09676598,0.0,-49.41858,-86.34606,0.14874986,-0.1593251,4.3168135,-0.04923118,-49.331985,-86.45671,0.0043150336,0.0009904090881347656,2086.9209411144257,30000
0.061532635,0.0,-47.19803,-83.660446,0.08896424,-0.2053372,4.937787,0.021447144,-47.111137,-83.681335,0.0028127162,0.0010475981712341309,2092.158940553665,31000
0.04552912,-1.0,-49.473137,-90.36174,0.094057456,-0.08247718,2.864334,-0.89236104,-49.3834,-90.45657,0.0025274332,0.0009933731079101562,2097.125813961029,32000
0.14243133,0.0,-48.603996,-89.85574,0.3730685,-0.2506356,8.535716,-0.31057778,-48.51065,-90.04603,0.0070190094,0.0008173778057098389,2101.2127120494843,33000
0.053471863,-1.0,-48.830868,-87.3115,0.10473084,-0.0956318,3.2622085,-1.0013475,-48.737453,-87.30925,0.002726981,0.0010338526725769044,2106.381983757019,34000
0.120177105,-1.0,-50.15677,-90.403824,0.1584243,-0.22644895,5.426793,-0.824593,-50.076065,-90.43503,0.007711393,0.0010294947147369384,2111.529465675354,35000
0.053438485,-1.0,-49.93165,-90.52731,0.071650624,-0.17031366,4.6158266,-0.8798102,-49.840874,-90.574776,0.003318929,0.0009871273040771484,2116.4651112556458,36000
0.0786113,0.0,-50.65572,-84.722855,0.09595938,-0.146762,4.020867,0.21401012,-50.563557,-84.79848,0.0044663246,0.0007895656585693359,2120.412948846817,37000
0.054599114,-1.0,-50.85414,-89.85087,0.08535476,-0.16763195,3.2495782,-0.8549899,-50.773186,-89.82141,0.0028513197,0.000873738431930542,2124.781648874283,38000
0.05404874,0.0,-47.858353,-90.29906,0.17867881,-0.072346814,4.371391,0.28355068,-47.7671,-90.341354,0.0022369134,0.0008273279190063477,2128.9182965755463,39000
0.08880585,0.0,-48.627464,-89.029884,0.16394539,-0.07368955,5.34913,0.09030707,-48.546417,-89.09779,0.00347413,0.0009273097038269043,2133.5548524856567,40000
0.06799195,-1.0,-50.604076,-90.50222,0.21126084,-0.17686176,4.3974886,-0.91814494,-50.52173,-90.50661,0.0076749697,0.0007065836906433105,2137.087779521942,41000
0.07537088,-1.0,-48.54306,-87.68671,0.20851272,-0.13268588,4.8500614,-0.80681,-48.460194,-87.733665,0.0041552833,0.0007182611942291259,2140.6790935993195,42000
0.07437459,0.0,-49.85858,-89.87946,0.16594829,-0.49265802,11.704598,0.29130864,-49.78157,-89.92214,0.0037461873,0.0007050570011138916,2144.2043867111206,43000
0.06514359,-1.0,-46.877213,-85.97207,0.13279314,-0.37939078,9.281499,-0.8051207,-46.79516,-85.87044,0.00239668,0.0007245639801025391,2147.827214717865,44000
0.018355276,0.0,-49.62265,-90.93642,0.059087425,-0.06826967,1.7906518,0.04229948,-49.558197,-90.86028,0.0011450059,0.0008848754405975342,2152.2515993118286,45000
0.06397986,0.0,-50.40056,-88.649994,0.07834417,-0.21092445,4.6129537,0.11676854,-50.32758,-88.7209,0.0044339327,0.000998196029663086,2157.2425882816315,46000
0.06823525,0.0,-50.484543,-87.52295,0.53085226,-0.19091251,12.271259,0.37518167,-50.420937,-87.53476,0.003219212,0.0009133856773376464,2161.8095247745514,47000
0.031737532,-1.0,-47.792164,-85.88401,0.11421288,-0.087006964,2.6810179,-0.95658505,-47.731186,-85.89159,0.0015891663,0.0009150649070739746,2166.384857416153,48000
0.036016993,0.0,-44.819427,-84.06087,0.11669921,-0.10921629,2.6588888,0.08356221,-44.74932,-84.04679,0.0022900086,0.0008087281227111816,2170.428505897522,49000
0.034674592,0.0,-47.814476,-87.732765,0.29254282,-0.099666536,6.9039063,0.0022911131,-47.74257,-87.72756,0.0016039705,0.0007155062198638916,2174.006040096283,50000
0.057895653,0.0,-48.44124,-88.87677,0.10871978,-0.27517933,5.0683293,0.06639742,-48.371014,-88.84303,0.0031921575,0.0038195319652557375,2193.1037027835846,55000
0.057196338,-1.0,-51.486786,-88.64211,0.11111325,-0.24725574,4.721983,-0.94985306,-51.4202,-88.59095,0.0026384098,0.0042105425834655765,2214.156418800354,60000
0.052761033,0.0,-49.48726,-90.70348,0.16439687,-0.43439043,7.581052,0.1322164,-49.43507,-90.71077,0.0039533004,0.004001216077804565,2234.1625027656555,65000
0.029553782,0.0,-48.995274,-90.6173,0.05515578,-0.16887967,2.9203181,0.08269744,-48.92855,-90.60773,0.0017158334,0.0035215948104858398,2251.770480155945,70000
0.010528771,0.0,-48.260647,-86.36145,0.08575614,-0.03002815,1.8133063,0.2718839,-48.20565,-86.43258,0.00063461077,0.0038174782276153563,2270.857875108719,75000
0.034443222,0.0,-48.331482,-83.387726,0.12333322,-0.15737355,2.9367204,0.045739114,-48.28131,-83.34282,0.0018169407,0.004310429430007935,2292.4100253582,80000
0.0147156585,0.0,-49.224762,-90.31747,0.044038236,-0.08202857,1.6552346,0.0057289153,-49.166565,-90.337105,0.0012403394,0.003633834409713745,2310.579201221466,85000
0.02589518,0.0,-48.673286,-87.50533,0.14128259,-0.2649803,4.6276135,0.048423626,-48.62456,-87.45608,0.0014702805,0.0036990643978118895,2329.0745265483856,90000
0.020517161,0.0,-50.91964,-88.52646,0.22789201,-0.058124207,3.3381274,0.27012193,-50.86003,-88.51667,0.0012858184,0.003973063945770264,2348.939849615097,95000
0.015818434,0.0,-49.708588,-88.26761,0.05965901,-0.1298826,2.7770758,0.081819884,-49.65432,-88.277176,0.0011646595,0.0036839857578277587,2367.3597819805145,100000
